Company,Category,What they do,Careers / Jobs URL,ATS Platform,ATS Token,Relevant Team(s),Notes,Jobs API / Feed URL (auto)
Anthropic,Frontier / foundation models,Claude; frontier models & safety,,,,,,
OpenAI,Frontier / foundation models,GPT / o-series frontier models,,,,,,
Google DeepMind,Frontier / foundation models,Gemini; research + products,,,,,,
Meta Superintelligence Labs,Frontier / foundation models,Llama; FAIR + GenAI,,,,,,
Microsoft AI,Frontier / foundation models,Copilot / MAI models / MSR,,,,,,
xAI,Frontier / foundation models,Grok; frontier models,,,,,,
Mistral AI,Frontier / foundation models,Open-weight + enterprise models (EU),,,,,,
Cohere,Frontier / foundation models,Enterprise LLMs + RAG,,,,,,
AI21 Labs,Frontier / foundation models,Enterprise LLMs,,,,,,
Reka AI,Frontier / foundation models,Multimodal models,,,,,,
Amazon AGI,Frontier / foundation models,Nova models / AGI lab,,,,,,
Apple AIML,Frontier / foundation models,On-device + foundation models,,,,,,
Thinking Machines Lab,Frontier / foundation models,Research lab (Murati),,,,,,
Safe Superintelligence (SSI),Frontier / foundation models,Safety-first frontier lab (Sutskever),,,,,,
Reflection AI,Frontier / foundation models,Open-source frontier models,,,,,,
Liquid AI,Frontier / foundation models,Efficient liquid foundation models,,,,,,
Sakana AI,Frontier / foundation models,Nature-inspired models (Japan),,,,,,
World Labs,Frontier / foundation models,Spatial / 3D models (Fei-Fei Li),,,,,,
Poolside,Frontier / foundation models,Code foundation models,,,,,,
Magic.dev,Frontier / foundation models,Code models / long context,,,,,,
Imbue,Frontier / foundation models,Reasoning agents & models,,,,,,
Black Forest Labs,Frontier / foundation models,FLUX image models,,,,,,
Together AI,AI infrastructure & compute,Inference + training cloud,,,,,,
Fireworks AI,AI infrastructure & compute,Fast inference platform,,,,,,
Baseten,AI infrastructure & compute,Model deployment / serving,,,,,,
Modal,AI infrastructure & compute,Serverless GPU compute,,,,,,
Replicate,AI infrastructure & compute,Run/deploy models via API,,,,,,
Anyscale,AI infrastructure & compute,Ray-based scaling,,,,,,
Fal.ai,AI infrastructure & compute,Generative-media inference,,,,,,
Lightning AI,AI infrastructure & compute,Dev / training platform,,,,,,
Predibase,AI infrastructure & compute,Fine-tuning & serving,,,,,,
CoreWeave,AI infrastructure & compute,GPU cloud,,,,,,
Lambda,AI infrastructure & compute,GPU cloud,,,,,,
Crusoe,AI infrastructure & compute,AI cloud / energy,,,,,,
Cerebras,AI infrastructure & compute,Wafer-scale AI chips,,,,,,
Groq,AI infrastructure & compute,LPU inference chips,,,,,,
SambaNova,AI infrastructure & compute,AI chips & systems,,,,,,
Etched,AI infrastructure & compute,Transformer ASICs,,,,,,
d-Matrix,AI infrastructure & compute,Inference compute,,,,,,
Tenstorrent,AI infrastructure & compute,AI chips (RISC-V),,,,,,
Nebius,AI infrastructure & compute,AI cloud,,,,,,
Anysphere (Cursor),Coding & dev tools,AI code editor / agent,,,,,,
Cognition (Devin),Coding & dev tools,Autonomous SWE agent,,,,,,
Replit,Coding & dev tools,AI app building,,,,,,
Windsurf,Coding & dev tools,Agentic IDE (Codeium),,,,,,
Augment Code,Coding & dev tools,Enterprise coding agent,,,,,,
Sourcegraph,Coding & dev tools,Code search + Amp agent,,,,,,
Tabnine,Coding & dev tools,Code completion,,,,,,
Continue,Coding & dev tools,Open-source coding assistant,,,,,,
Vercel,Coding & dev tools,v0; AI web dev,,,,,,
Factory AI,Coding & dev tools,Software agents,,,,,,
All Hands AI,Coding & dev tools,OpenHands agents,,,,,,
Warp,Coding & dev tools,Agentic terminal,,,,,,
Perplexity,Search & enterprise knowledge,AI answer engine,,,,,,
Glean,Search & enterprise knowledge,Enterprise search / agents,,,,,,
Hebbia,Search & enterprise knowledge,Document / finance AI,,,,,,
Sana,Search & enterprise knowledge,Enterprise knowledge AI,,,,,,
Writer,Search & enterprise knowledge,Enterprise generative AI,,,,,,
Dust,Search & enterprise knowledge,Enterprise agents platform,,,,,,
You.com,Search & enterprise knowledge,AI search,,,,,,
Sierra,Agents & automation,Customer-experience agents,,,,,,
Decagon,Agents & automation,Support agents,,,,,,
Cresta,Agents & automation,Contact-center AI,,,,,,
Lindy,Agents & automation,AI automation / agents,,,,,,
MultiOn,Agents & automation,Web agents,,,,,,
H Company,Agents & automation,Agentic AI (France),,,,,,
Ema,Agents & automation,Universal AI employee,,,,,,
11x,Agents & automation,AI SDRs,,,,,,
ElevenLabs,Voice & audio,Voice AI / TTS,,,,,,
Cartesia,Voice & audio,Real-time voice models,,,,,,
Deepgram,Voice & audio,Speech-to-text,,,,,,
AssemblyAI,Voice & audio,Speech AI APIs,,,,,,
Suno,Voice & audio,AI music,,,,,,
Udio,Voice & audio,AI music,,,,,,
Hume AI,Voice & audio,Emotionally-intelligent voice,,,,,,
Sesame,Voice & audio,Voice companions / hardware,,,,,,
PlayAI,Voice & audio,Voice agents,,,,,,
Runway,Vision / video & creative,AI video generation,,,,,,
Pika,Vision / video & creative,AI video,,,,,,
Luma AI,Vision / video & creative,Video / 3D (Dream Machine),,,,,,
Midjourney,Vision / video & creative,Image generation,,,,,,
Stability AI,Vision / video & creative,Open image/video models,,,,,,
Ideogram,Vision / video & creative,Image gen with text,,,,,,
Synthesia,Vision / video & creative,AI video avatars,,,,,,
HeyGen,Vision / video & creative,AI avatars / video,,,,,,
Captions,Vision / video & creative,AI video creation,,,,,,
Descript,Vision / video & creative,AI audio/video editing,,,,,,
Krea,Vision / video & creative,Generative design,,,,,,
Abridge,Healthcare & bio AI,Clinical documentation AI,,,,,,
Ambience Healthcare,Healthcare & bio AI,Clinical AI,,,,,,
OpenEvidence,Healthcare & bio AI,Medical AI for physicians,,,,,,
Hippocratic AI,Healthcare & bio AI,Healthcare agents,,,,,,
Suki,Healthcare & bio AI,Clinical voice assistant,,,,,,
Isomorphic Labs,Healthcare & bio AI,AI drug discovery (Alphabet),,,,,,
Xaira Therapeutics,Healthcare & bio AI,AI drug discovery,,,,,,
EvolutionaryScale,Healthcare & bio AI,Protein models (ESM),,,,,,
Chai Discovery,Healthcare & bio AI,Molecular structure models,,,,,,
Recursion,Healthcare & bio AI,AI-driven biopharma,,,,,,
Cradle,Healthcare & bio AI,Protein design,,,,,,
Harvey,Legal / finance & vertical,Legal AI,,,,,,
Robin AI,Legal / finance & vertical,Legal contracts AI,,,,,,
EvenUp,Legal / finance & vertical,Legal (injury) AI,,,,,,
Eudia,Legal / finance & vertical,Legal / enterprise AI,,,,,,
Rogo,Legal / finance & vertical,Finance research AI,,,,,,
Clay,Legal / finance & vertical,GTM / data enrichment,,,,,,
Ramp,Legal / finance & vertical,Finance automation (AI),,,,,,
Mercor,Legal / finance & vertical,AI hiring / talent marketplace,,,,,,
Scale AI,Data / eval & ML tooling,Data labeling / eval,,,,,,
Surge AI,Data / eval & ML tooling,Data labeling,,,,,,
Labelbox,Data / eval & ML tooling,Data platform,,,,,,
Snorkel AI,Data / eval & ML tooling,Programmatic data / eval,,,,,,
Turing,Data / eval & ML tooling,Training data / talent,,,,,,
Invisible Technologies,Data / eval & ML tooling,AI ops / data,,,,,,
Hugging Face,Data / eval & ML tooling,Models & datasets hub,,,,,,
LangChain,Data / eval & ML tooling,LLM app framework,,,,,,
LlamaIndex,Data / eval & ML tooling,Data framework for LLMs,,,,,,
Weights & Biases,Data / eval & ML tooling,ML experiment tracking,,,,,,
Braintrust,Data / eval & ML tooling,LLM eval platform,,,,,,
Patronus AI,Data / eval & ML tooling,LLM evaluation,,,,,,
Arize AI,Data / eval & ML tooling,ML / LLM observability,,,,,,
Galileo,Data / eval & ML tooling,LLM eval / observability,,,,,,
Distyl AI,Data / eval & ML tooling,Enterprise AI delivery,,,,,,
Physical Intelligence,Robotics & autonomy,Robot foundation models,,,,,,
Skild AI,Robotics & autonomy,Robot foundation models,,,,,,
Figure,Robotics & autonomy,Humanoid robots,,,,,,
1X Technologies,Robotics & autonomy,Humanoid robots,,,,,,
Agility Robotics,Robotics & autonomy,Humanoid (Digit),,,,,,
Boston Dynamics,Robotics & autonomy,Robotics,,,,,,
Waymo,Robotics & autonomy,Autonomous driving,,,,,,
Nuro,Robotics & autonomy,Autonomous delivery,,,,,,
