Company,Category,What they do,Careers / Jobs URL,ATS Platform,ATS Token,Relevant Team(s),Notes,Jobs API / Feed URL (auto)
Anthropic,Frontier / foundation models,Claude; frontier models & safety,,greenhouse,anthropic,,auto-resolved (373 jobs on probe),
OpenAI,Frontier / foundation models,GPT / o-series frontier models,,ashby,openai,,auto-resolved (724 jobs on probe),
Google DeepMind,Frontier / foundation models,Gemini; research + products,,unresolved,,,"no ATS match; tried slugs: googledeepmind, google-deepmind, google_deepmind, google",
Meta Superintelligence Labs,Frontier / foundation models,Llama; FAIR + GenAI,,unresolved,,,"no ATS match; tried slugs: metasuperintelligencelabs, meta-superintelligence-labs, meta_superintelligence_labs, metasuperintelligence, meta-superintelligence, meta",
Microsoft AI,Frontier / foundation models,Copilot / MAI models / MSR,,unresolved,,,"no ATS match; tried slugs: microsoftai, microsoft-ai, microsoft_ai, microsoft",
xAI,Frontier / foundation models,Grok; frontier models,,greenhouse,xai,,auto-resolved (220 jobs on probe),
Mistral AI,Frontier / foundation models,Open-weight + enterprise models (EU),,lever,mistral,,auto-resolved (168 jobs on probe),
Cohere,Frontier / foundation models,Enterprise LLMs + RAG,,ashby,cohere,,auto-resolved (126 jobs on probe),
AI21 Labs,Frontier / foundation models,Enterprise LLMs,,unresolved,,,"no ATS match; tried slugs: ai21labs, ai21-labs, ai21_labs, ai21",
Reka AI,Frontier / foundation models,Multimodal models,,ashby,reka,,auto-resolved (6 jobs on probe),
Amazon AGI,Frontier / foundation models,Nova models / AGI lab,,unresolved,,,"no ATS match; tried slugs: amazonagi, amazon-agi, amazon_agi, amazon",
Apple AIML,Frontier / foundation models,On-device + foundation models,,unresolved,,,"no ATS match; tried slugs: appleaiml, apple-aiml, apple_aiml, apple",
Thinking Machines Lab,Frontier / foundation models,Research lab (Murati),,ashby,thinking-machines-lab,,auto-resolved (0 jobs on probe),
Safe Superintelligence (SSI),Frontier / foundation models,Safety-first frontier lab (Sutskever),,ashby,safe,,auto-resolved (16 jobs on probe),
Reflection AI,Frontier / foundation models,Open-source frontier models,,ashby,reflectionai,,auto-resolved (48 jobs on probe),
Liquid AI,Frontier / foundation models,Efficient liquid foundation models,,ashby,liquid-ai,,auto-resolved (16 jobs on probe),
Sakana AI,Frontier / foundation models,Nature-inspired models (Japan),,unresolved,,,"no ATS match; tried slugs: sakanaai, sakana-ai, sakana_ai, sakana",
World Labs,Frontier / foundation models,Spatial / 3D models (Fei-Fei Li),,greenhouse,worldlabs,,auto-resolved (14 jobs on probe),
Poolside,Frontier / foundation models,Code foundation models,,ashby,poolside,,auto-resolved (16 jobs on probe),
Magic.dev,Frontier / foundation models,Code models / long context,,greenhouse,magic,,manual override (0 jobs on probe),
Imbue,Frontier / foundation models,Reasoning agents & models,,greenhouse,imbue,,auto-resolved (3 jobs on probe),
Black Forest Labs,Frontier / foundation models,FLUX image models,,greenhouse,blackforestlabs,,auto-resolved (14 jobs on probe),
Together AI,AI infrastructure & compute,Inference + training cloud,,greenhouse,togetherai,,auto-resolved (56 jobs on probe),
Fireworks AI,AI infrastructure & compute,Fast inference platform,,greenhouse,fireworksai,,auto-resolved (27 jobs on probe),
Baseten,AI infrastructure & compute,Model deployment / serving,,ashby,baseten,,auto-resolved (68 jobs on probe),
Modal,AI infrastructure & compute,Serverless GPU compute,,ashby,modal,,auto-resolved (31 jobs on probe),
Replicate,AI infrastructure & compute,Run/deploy models via API,,unresolved,,,no ATS match; tried slugs: replicate,
Anyscale,AI infrastructure & compute,Ray-based scaling,,ashby,anyscale,,auto-resolved (10 jobs on probe),
Fal.ai,AI infrastructure & compute,Generative-media inference,,greenhouse,fal,,manual override (45 jobs on probe),
Lightning AI,AI infrastructure & compute,Dev / training platform,,greenhouse,lightningai,,auto-resolved (31 jobs on probe),
Predibase,AI infrastructure & compute,Fine-tuning & serving,,unresolved,,,no ATS match; tried slugs: predibase,
